number of aircraft,average cpu time,cpu variance,cost of replanning,num replannings
20.0,0.0524065586236807,0.04789845117947825,21.0,26.0
20.0,0.0178029991331554,0.0002364935819776,29.0,21.0
20.0,0.0134811282157897,0.0003669113837165,24.0,20.0
20.0,0.0323543889181954,0.0048783904789404,36.0,21.0
20.0,0.0196326732635498,0.001065813096909,11.0,15.0
20.0,0.0225225687026977,0.0010699395759723,28.0,20.0
20.0,0.014082139188593,0.0002642831954221,30.0,22.0
20.0,0.0088625053564707,0.0002911862258803,23.0,24.0
20.0,0.0098778128623962,0.0001229602958925,18.0,20.0
20.0,0.0076162273233587,0.0001251430045652,24.0,22.0
18.0,0.0085477261316208,0.0001799613610382,7.0,21.0
18.0,0.0085159329807057,5.977828769984813e-05,12.0,17.0
18.0,0.0083950996398925,0.0001695742489178,16.0,20.0
18.0,0.0089827425339642,9.331137727699838e-05,5.0,17.0
18.0,0.0189340625490461,0.0004198003392833,18.0,14.0
18.0,0.0401111284891764,0.0093868803852864,26.0,15.0
18.0,0.0089114413541906,0.00014534164829,3.0,17.0
18.0,0.0083412953785487,5.675468561465065e-05,3.0,14.0
18.0,0.0048384941541231,1.6302356276932748e-05,3.0,26.0
18.0,0.0134295538852089,0.0003609484216137,15.0,19.0
18.0,0.0205463100882137,0.0013846522240976,22.0,17.0
18.0,0.0052528506831118,1.1382721661660906e-05,1.0,19.0
18.0,0.0057466355237093,3.081960636453229e-05,2.0,22.0
18.0,0.0107778240652645,0.0001689004468951,9.0,17.0
18.0,0.0094885945320129,0.0001329638335204,19.0,20.0
16.0,0.0077096865727351,9.020810129483764e-05,17.0,13.0
16.0,0.0043132901191711,1.6434179902565422e-05,1.0,16.0
16.0,0.0132554832257722,0.0003208844692884,17.0,19.0
16.0,0.0043445194468778,7.167633836000759e-06,0.0,17.0
16.0,0.0215616375207901,0.0027875063756442,6.0,16.0
16.0,0.0069041781955295,2.695149660316364e-05,6.0,18.0
16.0,0.003553779501664,7.960735092704545e-06,1.0,19.0
16.0,0.0078109314567164,0.0001031257594018,7.0,19.0
16.0,0.0036174416542053,8.453212338634474e-06,0.0,20.0
16.0,0.00555419921875,2.0545124225703292e-05,5.0,20.0
16.0,0.0165154139200846,0.0005400235314041,27.0,18.0
16.0,0.0091925144195556,0.00026810521789,10.0,15.0
16.0,0.0057635188102722,4.113784254534973e-05,14.0,20.0
16.0,0.0093528032302856,0.0001462757913394,10.0,14.0
16.0,0.0066334824813039,4.833228035284541e-05,12.0,19.0
14.0,0.0086197512490408,7.385682046593242e-05,10.0,14.0
14.0,0.0053606173571418,2.3098715910454276e-05,10.0,17.0
14.0,0.0058881869682898,4.6578117840057624e-05,13.0,13.0
14.0,0.0036313931147257,1.0186518507867624e-05,3.0,18.0
14.0,0.0110438664754231,0.0002057686624187,29.0,15.0
14.0,0.0064861377080281,7.764810378569778e-05,13.0,18.0
14.0,0.0088839928309122,9.6026900399024e-05,21.0,18.0
14.0,0.0027029832204182,1.8229066286256144e-06,0.0,15.0
14.0,0.0115070939064025,0.0002936336600328,21.0,16.0
14.0,0.007073958714803,0.0001060632595443,6.0,15.0
14.0,0.0025796145200729,3.0448450064094837e-06,0.0,16.0
14.0,0.0081628050122942,6.533699272520128e-05,4.0,14.0
14.0,0.0043651103973388,5.901278482919484e-06,0.0,15.0
14.0,0.0056909173727035,6.80295562913121e-05,12.0,16.0
14.0,0.0062173472510443,8.983366309074603e-05,14.0,18.0
12.0,0.0098787148793538,9.733550793057611e-05,18.0,12.0
12.0,0.0036834478378295,5.1118168120383955e-06,2.0,18.0
12.0,0.0041021567124586,4.190871038062118e-05,1.0,13.0
12.0,0.0081589698791503,0.0001195114219951,6.0,15.0
12.0,0.0033558256485882,1.1077639662042148e-05,1.0,17.0
12.0,0.0052495369544396,3.9934426210627346e-05,5.0,13.0
12.0,0.0083829164505004,8.18558472649949e-05,7.0,12.0
12.0,0.0024414623484892,2.872433530352309e-06,0.0,17.0
12.0,0.0031110604604085,6.378796606332756e-06,0.0,15.0
12.0,0.0035065726230019,7.949983475823794e-06,0.0,19.0
12.0,0.0059606467976289,5.387062147498093e-05,10.0,17.0
12.0,0.0034269541501998,2.4007327076702723e-05,4.0,16.0
12.0,0.0050297379493713,6.27419040248676e-05,7.0,12.0
12.0,0.0092873573303222,0.0002862728384911,1.0,11.0
12.0,0.0086630412510463,0.0003277690642187,1.0,14.0
10.0,0.0035625457763671,9.133293838203828e-06,1.0,15.0
10.0,0.0068482637405395,0.0001332790420879,7.0,10.0
10.0,0.0055488348007202,6.217208056429829e-05,4.0,10.0
10.0,0.0046159625053405,1.4179039765012515e-05,1.0,12.0
10.0,0.0033033291498819,1.0872819662684682e-05,8.0,12.0
10.0,0.0116757324763706,0.0002821309078776,16.0,14.0
10.0,0.0079513696523813,0.0002033226748742,7.0,13.0
10.0,0.0039924658261812,1.0148698441397732e-05,4.0,13.0
10.0,0.0056879337017352,3.770200926530775e-05,0.0,13.0
10.0,0.0052857615730979,4.066585710750752e-05,0.0,11.0
10.0,0.0035893000089205,1.054276485526829e-05,2.0,13.0
10.0,0.00283830506461,3.4456637599810114e-06,0.0,14.0
10.0,0.0050375278179462,4.1146751134245e-05,6.0,13.0
10.0,0.0037397037852894,3.1094541141514624e-06,0.0,11.0
10.0,0.0088900869542902,8.533851271398486e-05,11.0,11.0
8.0,0.0044850508371988,1.3411049877731784e-05,0.0,9.0
8.0,0.0055518150329589,4.4467292710237416e-05,5.0,9.0
8.0,0.0023097693920135,9.68158660035507e-07,0.0,8.0
8.0,0.0040058294932047,9.394125868311676e-06,0.0,9.0
8.0,0.0032526146281849,1.0668395968464625e-05,0.0,11.0
8.0,0.002385984767567,1.5161351980581954e-06,0.0,11.0
8.0,0.005800445874532,7.521836878747005e-06,0.0,6.0
8.0,0.0051883220672607,3.82274637988505e-05,5.0,10.0
8.0,0.0034712878140536,3.1394954279758995e-06,0.0,11.0
8.0,0.0030006928877397,5.935914757835483e-06,0.0,11.0
8.0,0.0022713797433035,1.495681884649797e-06,0.0,14.0
8.0,0.0034184985690646,3.4507536636536115e-06,1.0,9.0
8.0,0.0035770416259765,7.792584493573586e-06,1.0,10.0
8.0,0.0058713176033713,2.9012384555409715e-05,9.0,11.0
8.0,0.0033155571330677,3.2297546950262174e-06,1.0,11.0
6.0,0.0021352767944335,1.4771121803797932e-06,0.0,8.0
